Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,-0.0581173538987,0.230851520711,192.380036195,-0.000729431488413,-0.000289479115154,0
2,-0.187323932351,0.772764231454,199.629659768,0.00057329918711,-0.00320150736822,0
3,-0.10667629054,0.851184659945,194.089406411,0.234487016354,0.00531276329161,358.464130669
4,-0.394728138963,1.39554117067,207.898872319,0.238772459525,0.0131041866203,358.464130669
5,-0.382960524983,1.71011578071,200.281381636,0.492322542808,0.00965013837005,338.03358464
6,-0.457314396689,1.67595726037,204.654676579,0.500948029464,-0.00522821646605,338.03358464
7,-0.601170290126,2.04069072968,213.444300863,0.595975086959,-0.0195415510487,332.81260078
8,-0.603067512265,1.82728985557,212.774396551,0.692575952617,-0.0563525149062,332.81260078
9,0.356617059732,0.750795530076,205.532090258,0.833968206911,-0.185319672745,318.378089556
10,1.36976748511,1.41614494544,257.736320169,0.978953961764,-0.322973969503,318.755923131
11,0.379399251408,1.09794383656,218.438734459,1.09175687465,-0.460787788804,311.463991388
12,0.808640286083,1.16469486859,235.961665301,1.27944566369,-0.631181586089,309.825861101
13,0.849137448186,1.25096370434,236.249087588,1.34509277899,-0.712022790965,307.592089764
14,0.16492647638,1.50199898677,216.030345686,1.52748440516,-0.958939974422,303.425534469
15,0.383314952545,1.50172371424,227.266986579,1.60361606668,-1.115033864,306.328315285
16,2.88842998397,-1.45736656778,315.821178435,2.47601419846,-2.6070685934,316.586313487
17,3.05843469495,-1.38357426392,175.128584679,2.43334166974,-2.71270392171,342.943232235
18,2.77284094326,-1.68497516675,113.600303584,2.46828998585,-2.71451015932,342.943232235
19,2.54988912995,-2.02250100568,38.8039239339,2.43993714744,-2.63471699397,342.943232235
20,2.53427763774,-1.848252399,60.9991666401,2.41120438652,-2.59411312366,36.2585164878
21,2.50947963075,-1.91160361399,60.7968959164,2.41100958435,-2.59429100008,36.2585164878
22,2.49983972553,-2.06860403597,69.4324876496,2.45552119048,-2.59619160826,36.2585164878
23,2.71159037246,-1.94652927041,74.0459769724,2.6145024517,-2.53518960169,46.3429576603
24,2.70598964103,-2.02029465693,79.6384581349,2.61052250238,-2.49998320278,46.3429576603
25,2.76814430056,-1.98489531932,73.7106195781,2.68099075856,-2.46295987108,40.1744272979
26,2.76991461189,-1.9565715445,70.1989048291,2.69272022078,-2.40561211223,40.1744272979
27,2.93925660837,-1.77675282092,69.3703633285,2.84661418075,-2.23067778625,37.3700933246
28,2.92885112025,-1.83844001011,76.7222494803,2.9081072846,-2.2387788517,37.3700933246
29,3.18178440773,-1.74829771443,64.626665376,3.08339695056,-2.12004602382,35.4943560493
30,3.25973541736,-1.66408986989,67.8091613178,3.17215482961,-2.06507402626,35.4943560493
31,3.26050590879,-1.68899021828,69.3660170966,3.18220573548,-2.01427014276,34.5246174919
32,3.25417265111,-1.69824303536,72.4019243957,3.1889513064,-1.97502132256,34.5246174919
33,3.43654720692,-1.4979217037,68.1624437515,3.35748076,-1.85983351962,29.777215329
34,3.44864548938,-1.5092686466,63.8532334514,3.3951481689,-1.86876153571,29.777215329
35,3.59066064709,-1.48001526715,67.5808550884,3.49915915994,-1.82671462827,29.777215329
36,3.58584357874,-1.47966944581,69.5644250986,3.50071204815,-1.82826979538,32.7509821479
37,3.61102072509,-1.49662900752,60.1338658774,3.50814407278,-1.83662297004,32.7509821479
38,3.80322882626,-1.37286226766,68.5783507446,3.7065742091,-1.70932012382,34.6052491034
39,3.8407249257,-1.39630381241,54.374159214,3.71166825892,-1.71853098172,34.6052491034
40,4.05678025728,-1.22110558322,39.3582349601,3.90026885221,-1.5250111883,29.4111180883
41,4.17746017653,-1.18152382369,27.0592185875,4.00023328224,-1.47818041232,26.7396689885
