Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,0.0583780053345,-0.114350708636,169.898231265,0.174820956073,0.222556376924,29.8752458275
2,0.107761577158,-0.35827367116,162.192761371,0.24992734491,0.188962670383,29.8752458275
3,0.495207303829,-0.306800581305,157.73685295,0.43721012116,0.350932240458,35.1673279704
4,0.534151701545,-0.187559708219,172.498919121,0.527210092897,0.41234007111,34.7589543295
5,0.693272657326,-0.240141435939,166.928138848,0.528791429307,0.454864669807,34.7589543295
6,1.07178353424,-0.958502565736,142.193044059,0.619507481891,0.516854068168,34.7589543295
7,1.73400121612,-1.42153370777,112.160590892,0.723560616926,0.560928019001,28.1846842634
8,2.06707544301,-1.82277990291,103.025119637,0.850297578801,0.59372150045,33.5241448273
9,2.36876888789,-1.95433803588,98.6566523944,1.05828602276,0.709542037167,38.3938819059
10,2.59346119161,-1.88857710467,87.9532812226,1.24845919683,0.911536866932,32.7864783703
11,2.68328441962,-1.86146088678,85.7598469138,1.32620885277,0.980593771102,31.1762415477
12,2.91611084012,-1.82234243207,80.1948947718,1.561398807,1.0769695734,27.8098942271
13,3.10191225853,-1.81278025477,80.2467717383,1.76729133809,1.23902613905,32.7725102649
14,3.23427635054,-1.71343331055,78.9703391402,1.90757608754,1.30718567836,33.4980406261
15,3.50856614002,-1.64286012512,84.4713868577,2.12497642487,1.46406562909,39.9784123647
16,3.54313112999,-1.34660658406,92.5498290361,2.21397102942,1.5173776551,38.4702410848
17,3.60518698896,-1.00631605677,91.7138093394,2.38797721611,1.67550855773,34.8385295325
18,3.73645111266,-0.762231895542,94.1538013858,2.58822329501,1.80649854906,34.0287091757
19,3.72509920311,-0.426920952844,108.799330053,2.6746800192,1.86963800047,33.9409650707
20,3.83252268187,-0.102987710239,111.334536962,2.87607236118,2.02734143189,29.4536983373
21,3.82087349212,0.605030251988,152.403492031,3.00464027155,2.08951033676,31.7441597334
22,3.81984959439,1.64402170032,202.676135272,3.22003516004,2.1835894375,28.1871336322
23,3.96623119641,2.67263980504,258.424688338,3.48182847841,2.33206079353,24.8792288331
24,4.16047973174,0.743491520321,155.102845878,3.56206822944,2.44553823546,138.432676617
25,3.80575269464,0.835534204015,207.336118294,3.56286500777,2.46016983734,179.40118409
26,3.43616938381,0.682555196641,225.47764378,3.56282401632,2.38748811035,179.40118409
27,3.39423688075,0.694039214824,247.225499231,3.53246698098,2.45485717891,201.182157849
28,3.46287046655,0.638005353148,298.944941409,3.6210314338,2.38103448858,252.456867129
29,3.1487714162,-0.0377694899928,275.092381133,3.22496277428,1.59716019175,233.280754354
30,3.00938596714,-0.134409197734,275.255379634,3.16098861629,1.60089526461,229.579229793
31,2.89805677794,-0.277723197085,274.843794773,3.0100268659,1.38690301771,233.004549701
32,2.73830675475,-0.567035595427,274.302903898,2.87790640108,1.19092286489,228.408234188
33,2.65606444133,-0.590099906008,274.114029358,2.79966659991,1.15053426813,228.800952471
34,2.49321912131,-0.798447329745,267.256746116,2.64410556487,0.937743859751,221.783203927
35,2.28480539793,-0.908435198247,268.826785117,2.43092791699,0.772257659232,223.67795841
36,2.20477968624,-0.999031745755,270.689417683,2.35365629173,0.706220593768,225.482287175
37,2.21282019904,-0.961546260292,269.157408645,2.35845220142,0.64580527071,225.482287175
38,2.03042134719,-1.2045088357,256.337902096,2.18269975269,0.514175533231,210.761174055
39,2.02531285221,-1.22167280803,257.103491093,2.10873311282,0.502404059883,210.761174055
40,1.90403277073,-1.26468544664,254.454744269,2.06471368725,0.468669734358,208.146371576
41,1.9042401813,-1.26398857032,254.423660507,2.05832437579,0.476891618121,208.146371576
42,1.90251222689,-1.26979430404,254.68262188,2.01577494632,0.442248824628,208.146371576
43,1.67305826927,-1.34722633803,260.026596113,1.8347134575,0.389057431937,213.428855008
44,1.67305826927,-1.34722633803,260.026596113,1.81968203054,0.319937696811,213.428855008
45,1.47686583765,-1.52762803674,252.246878016,1.57033838818,0.239955614702,205.649136911
46,1.47686583765,-1.52762803674,252.246878016,1.5602742913,0.258353473295,205.649136911
47,1.38387026959,-1.53984392957,253.877485544,1.54414001652,0.176110293377,207.279744439
48,1.38387026959,-1.53984392957,253.877485544,1.52190696535,0.169701423075,207.279744439
49,1.19473592313,-1.67553853246,251.039990891,1.35842437118,0.0664016983728,204.442249786
50,1.19473592313,-1.67553853246,251.039990891,1.25434973307,0.0377690618863,204.442249786
51,0.91788538335,-1.71903106436,254.094346916,1.0823584223,0.0150446528543,207.496605811
52,0.842197003929,-1.80391242533,254.147211133,0.98537076758,-0.0454462382552,207.549470028
53,0.612844913393,-1.93238933918,251.550110359,0.77700769013,-0.206508973138,204.952369254
54,0.480718587396,-1.98773320563,250.324905724,0.638087989914,-0.23998190528,203.727164619
55,0.328630714164,-2.09590175221,253.577167709,0.470537038843,-0.344407246361,206.979426604
56,0.328630714164,-2.09590175221,253.577167709,0.413566197553,-0.318163096412,206.979426604
57,0.328630714164,-2.09590175221,253.577167709,0.317993930451,-0.367151186058,206.979426604
58,0.0541844439083,-2.14869401935,252.875085784,0.217075117414,-0.402340581888,206.277344679
59,0.0541844439083,-2.14869401935,252.875085784,0.216114345949,-0.410650679295,206.277344679
60,-0.0347380782941,-2.184985027,251.367247355,0.127322770335,-0.444458552666,204.76950625
61,-0.0347380782941,-2.184985027,251.367247355,0.121445887892,-0.46448545194,204.76950625
62,-0.242112667951,-2.38523884887,246.769053146,-0.100050279978,-0.627553462003,200.171312041
63,-0.242112667951,-2.38523884887,246.769053146,-0.13756962543,-0.623141646928,200.171312041
64,-0.242112667951,-2.38523884887,246.769053146,-0.186007941615,-0.633681639061,200.171312041
65,-0.514915289269,-2.42736587788,252.751171825,-0.365975675217,-0.662936268507,206.15343072
66,-0.613097619482,-2.47331103726,252.221964286,-0.449662697896,-0.735400532519,205.624223181
67,-0.613097619482,-2.47331103726,252.221964286,-0.455879501314,-0.721824778102,205.624223181
68,-0.838083590495,-2.61621390877,249.49833141,-0.67722519827,-0.862168084477,202.900590305
69,-0.838083590495,-2.61621390877,249.49833141,-0.675125660177,-0.878414937167,202.900590305
70,-0.976738803884,-2.65115748481,250.195923853,-0.81433411965,-0.911120245033,203.598182748
71,-0.976738803884,-2.65115748481,250.195923853,-0.820773920093,-0.901385239931,203.598182748
72,-1.17675142542,-2.74246586568,255.177676031,-1.01171733426,-1.00124705082,208.579934926
73,-1.40806845508,-2.8480497498,255.733978177,-1.24350365248,-1.10257479683,209.136237072
74,-1.49241256794,-2.87717063891,253.407540723,-1.32933057995,-1.12773466028,206.809799618
75,-1.69817014485,-3.04823296213,257.08896924,-1.52890104817,-1.31395308912,210.491228135
76,-1.95785415093,-3.12919598155,259.806636926,-1.80684503094,-1.46295263369,213.208895821
77,-2.03411121676,-3.21056529774,262.210461781,-1.86048297273,-1.4795506714,215.612720676
78,-2.22905027644,-3.36809819229,250.846499883,-2.06491389083,-1.64017063715,204.248758778
79,-2.36371347012,-3.413426169,251.769928932,-2.20152164843,-1.67320211529,205.172187827
80,-2.55918960525,-3.51193059171,251.625810335,-2.43262275771,-1.73917507289,205.02806923
81,-2.80614803498,-3.61811249192,254.696964186,-2.64184677204,-1.87550622131,208.099223081
82,-2.88533149873,-3.64662422966,249.762261325,-2.7205860688,-1.900904198,203.16452022
83,-3.12234051261,-3.77503015846,242.702162632,-2.94948707707,-2.03924635156,196.104421527
84,-3.37583090653,-3.80136367508,248.923136441,-3.21580126062,-2.05903545255,202.325395336
85,-3.48885180456,-3.87615724995,252.388517827,-3.32356006755,-2.13097734183,205.790776722
86,-3.74563737781,-3.99961461267,249.000885969,-3.59170176275,-2.25556387984,202.403144864
87,-3.95077759271,-4.11401822327,355.204803611,-3.76305962474,-2.35708608039,308.607062506
88,-3.95077759271,-4.11401822327,355.204803611,-3.74598981739,-2.28785274283,308.607062506
89,-3.9088791275,-4.03322069914,43.80960952,-3.74665269203,-2.29146663381,357.211868415
90,-3.9088791275,-4.03322069914,43.80960952,-3.74842697086,-2.30959965636,357.211868415
91,-3.94095011411,-4.03570134353,72.6503311228,-3.71962170762,-2.40577250855,26.0525900178
92,-3.60554866345,-3.52784179218,96.0586623162,-3.37589330901,-1.67226222883,49.4609212113
93,-3.50652092739,-3.41104678344,95.5518754993,-3.34406925628,-1.6709324064,48.9541343944
94,-3.38950758063,-3.25147110549,92.1659883823,-3.21929976874,-1.50984337833,45.5682472773
95,-3.38950758063,-3.25147110549,92.1659883823,-3.14093284534,-1.43385558005,45.5682472773
96,-3.17848362669,-3.09873835834,91.4090119362,-3.0173771314,-1.36636263467,44.8112708313
97,-3.17848362669,-3.09873835834,91.4090119362,-3.01265234159,-1.30103545634,44.8112708313
98,-3.17848362669,-3.09873835834,91.4090119362,-2.93496008408,-1.32160719657,44.8112708313
99,-3.1055852111,-3.06373243893,85.5630776958,-2.94549199434,-1.32516700639,38.9653365909
100,-3.1055852111,-3.06373243893,85.5630776958,-2.94325853448,-1.30340907056,38.9653365909
101,-2.93317209743,-2.84923089657,85.3119613778,-2.76586735604,-1.11858542349,38.7142202728
102,-2.93317209743,-2.84923089657,85.3119613778,-2.80076621532,-1.06887615066,38.7142202728
103,-2.93317209743,-2.84923089657,85.3119613778,-2.7162957655,-1.11200269937,38.7142202728
104,-2.71567003916,-2.72770182461,79.591927162,-2.54147043132,-0.993372911197,32.994186057
105,-2.71567003916,-2.72770182461,79.591927162,-2.52837351922,-1.01003798859,32.994186057
106,-2.63984331086,-2.67020576561,78.0641278102,-2.43885583599,-0.950732270339,31.4663867052
107,-2.63984331086,-2.67020576561,78.0641278102,-2.43527375651,-0.958242531276,31.4663867052
108,-2.42223368869,-2.53918532613,70.4577613705,-2.25179821803,-0.789528168235,23.8600202655
109,-2.42223368869,-2.53918532613,70.4577613705,-2.1186812019,-0.742286803477,23.8600202655
110,-2.29189321097,-2.48939101306,67.2351346145,-2.11330033849,-0.775674210291,20.6373935095
111,-2.29189321097,-2.48939101306,67.2351346145,-2.09382326308,-0.760473258902,20.6373935095
112,-2.13005178779,-2.43250656828,71.4244102729,-1.98628793926,-0.735667162921,24.826669168
113,-2.13005178779,-2.43250656828,71.4244102729,-1.83019770731,-0.626812278144,24.826669168
114,-1.92828679495,-2.32931200028,64.3765722314,-1.7808024856,-0.632115949865,17.7788311264
115,-1.92828679495,-2.32931200028,64.3765722314,-1.75986436502,-0.587687770802,17.7788311264
116,-1.78225403446,-2.31268503455,65.4237729306,-1.6041675082,-0.585737021277,18.8260318256
117,-1.78225403446,-2.31268503455,65.4237729306,-1.62077408333,-0.571794998446,18.8260318256
