Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,0.995533894211,1.46628883049,210.594741682,0.824163122961,1.62640493349,51.0305858933
2,-0.0655488363595,-0.165192196557,206.273202079,1.04101763354,1.73314930093,38.0839829402
3,-0.467339668441,-0.651770583189,202.775056039,1.12090515949,1.80631798635,36.9939896274
4,-0.624940239478,-0.706542129037,198.189846303,1.36668565476,1.98858307514,28.4800242972
5,-0.190500159759,-0.558870251671,205.207671378,1.52407568522,2.08138748009,33.9119021615
6,-0.486925290173,-0.533416583881,209.014981173,1.59302052393,2.17068267332,39.8793133313
7,-0.388225615005,-0.358351809335,204.860002456,1.82821925329,2.28935301501,34.467753709
8,-0.431506220235,-0.303280846827,207.000902572,1.9182143723,2.32696019235,36.0767701179
9,-0.458090293344,-0.32854835763,287.783533174,1.90275317699,2.3183824494,122.612148257
10,-0.225671214854,-0.352222504154,315.953222548,1.90205614058,2.37146559341,155.52026602
11,0.45187435179,-0.732130081771,305.333151359,1.9119355839,2.35995980309,155.52026602
12,1.66215606406,-1.37043925311,281.18701191,1.91036000569,2.34177612985,155.52026602
13,1.78844805635,-1.45290308306,289.027496303,1.90473764364,2.39024847788,189.693887101
14,1.90778826419,-1.48580908294,264.54060301,1.89969941763,2.41706028346,189.693887101
15,1.90388095594,-1.49175901577,292.824037621,1.90226844301,2.38795023457,219.959740492
16,1.9305957634,-1.48840487852,269.4220815,1.90177335899,2.38864442312,219.959740492
17,1.9887272937,-1.48180026372,217.679808121,1.89919604508,2.39164486662,219.959740492
18,1.91584135645,-1.46631100645,40.1585385051,1.95741111738,2.38837236515,258.198789101
19,2.00614687492,-1.81551430295,63.4392216064,1.93909388675,1.96839683695,269.60991766
20,2.01220220799,-1.90868575027,60.2146118258,1.86657557474,1.93538813454,269.60991766
21,2.09122398252,-2.18400497333,62.1022107138,1.9148309791,1.64933315127,255.706305
22,2.01430947296,-2.42108307517,57.727977283,1.81559361506,1.41077289248,248.102004876
23,2.00786643784,-2.47155206054,61.2191713086,1.82190041692,1.33583605609,248.308401838
24,1.94056240064,-2.6949907406,68.7099513225,1.64611614575,1.04018390853,232.348827195
25,1.7772041355,-2.87329521657,59.2041858617,1.55925221463,0.954433050797,227.451445245
26,1.76136235781,-2.94898222064,53.0749564216,1.53141510718,0.880655308761,223.558568443
27,1.76875808827,-2.94601734712,43.3326891962,1.46123086759,0.821930721887,223.558568443
28,1.56542732942,-3.09540080799,33.1880899407,1.31625228505,0.747187083043,213.535947556
29,1.56607241996,-3.09514219772,32.3383233844,1.20303261957,0.610272117873,213.535947556
30,1.36059952383,-3.18246668268,30.1474988382,1.13167192119,0.635285369375,211.953578223
31,1.36031619124,-3.18258026785,30.5207279368,1.12589922895,0.644418920413,211.953578223
32,1.33716611832,-3.27751588452,30.4450377883,1.11146127568,0.547911550569,211.577474542
33,1.33833415512,-3.27704763038,28.9064032105,1.09554665642,0.550371135807,211.577474542
34,1.14287407603,-3.39983539722,20.9755806425,0.913692764996,0.429222241231,203.646651974
35,1.14287407603,-3.39983539722,20.9755806425,0.901880907776,0.431040694455,203.646651974
36,0.925662166391,-3.45013602987,17.1199692193,0.697029744153,0.361524816902,199.791040551
37,0.878574923078,-3.52904955746,16.481914449,0.653236149628,0.293392571716,199.15298578
38,0.658860553096,-3.59019866056,8.44797547485,0.427904083081,0.234643779779,191.119046806
39,0.658860553096,-3.59019866056,8.44797547485,0.271980206015,0.231373680839,191.119046806
40,0.415796883616,-3.60884488718,10.355225107,0.182873675397,0.210965967223,193.026296438
41,0.372430154017,-3.67326569456,9.88686954275,0.138530365349,0.155547969245,192.557940874
42,0.372430154017,-3.67326569456,9.88686954275,0.137444246383,0.153069529878,192.557940874
43,0.372430154017,-3.67326569456,9.88686954275,-0.0695892943555,0.140779621878,192.557940874
44,0.134792532412,-3.70419248887,10.7840941768,-0.0931212881132,0.118696894113,193.455165508
45,0.134792532412,-3.70419248887,10.7840941768,-0.163070318134,0.123851764164,193.455165508
46,-0.0951398834175,-3.75332083431,14.0922480228,-0.322484571456,0.0721050977174,196.763319354
47,-0.0891586443245,-3.73010247864,14.3213037265,-0.321040749942,0.0902501777696,196.992375058
48,-0.0891586443245,-3.73010247864,14.3213037265,-0.370915040262,0.0626281259212,196.992375058
49,-0.277800442964,-3.82125166574,17.0470765355,-0.548834370069,0.0250917959659,199.718147867
50,-0.277800442964,-3.82125166574,17.0470765355,-0.554245663678,0.0397850622872,199.718147867
51,-0.506846751003,-3.83650944839,11.710309038,-0.740080059127,-0.0213929146332,194.381380369
52,-0.587751462956,-3.87910789698,10.355544535,-0.821716747772,-0.055344410667,193.026615866
