Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,-0.0483743344944,0.433182617808,172.920141423,-0.0272839323505,0.29018258473,82.500755076
2,0.427625201174,0.980247064352,176.804070625,0.753439237083,1.42133302262,40.5064372387
3,0.4856297983,1.08567837516,186.182314929,0.915376033919,1.5509764926,31.7119243472
4,0.610187091064,0.906229297645,195.625713683,1.1391393191,1.638591661,34.2097690836
5,0.997087971487,1.6015490462,195.138148948,1.21390687161,1.72461868267,36.6805310574
6,0.909367104622,1.4158456809,212.768622369,1.48583932352,1.85925951781,27.2039310148
7,1.01094074685,1.79712101869,229.134657405,1.66649180134,2.07090350249,33.6960589098
8,1.29008258923,1.9787539347,157.737225232,1.74156374426,2.14621859553,41.9260514374
9,1.4721010636,2.13289195364,138.051125806,1.90843512516,2.27048880678,37.8919298267
10,1.74352039668,1.9971993476,116.753464407,1.99493919867,2.34222034204,37.7238134555
11,2.02123134401,1.93831373597,262.651968867,2.16493269492,2.34993510038,32.725099821
12,2.24695580941,1.57805263132,86.5339090614,2.09671647348,2.35224045501,107.821421377
13,2.25144705309,1.55512288216,124.781834222,2.09830362311,2.35129270575,153.075401113
14,2.3002177331,1.7473998419,145.650185965,2.13643392444,2.32361199511,153.075401113
15,2.33444203415,1.50463724722,137.405725163,2.1370188541,2.32434757411,153.075401113
16,2.31093289435,1.33748908075,162.023049499,2.13696075491,2.33076189689,180.809618001
17,2.33460473576,1.58745030851,171.972899914,2.13234879256,2.42220247554,180.809618001
18,2.31487052857,1.36910567216,195.008080841,2.14033168616,2.37830111594,212.169627979
19,2.32984169014,1.16884715896,248.393934447,2.12528564389,2.28874769528,277.163213254
20,2.34732062771,0.947578144302,252.980790425,2.16400865307,2.09668286638,283.17400446
21,2.44301691625,0.809679057596,249.614576766,2.23873720896,1.93970247156,279.227535702
22,2.38923199335,0.455069356097,253.360214373,2.22894407355,1.6568632869,284.552550359
23,2.36152357397,0.289645915544,252.274915059,2.24933242414,1.5749861163,284.849462959
24,2.35406579639,-0.0921974944551,250.039725618,2.32868613537,1.33903412682,286.733683119
25,2.42631427398,-0.377160810078,250.506101484,2.41215377925,1.06057653555,288.400974154
26,2.4559650493,-0.490110409375,247.646775953,2.45439777223,0.96116670191,286.536279817
27,2.47905939378,-0.820392185821,251.882762523,2.52069341862,0.72478597422,289.345657536
28,2.63186516941,-1.16446919667,252.292639113,2.75171399446,0.335131828765,292.337410202
29,2.77676361136,-1.3099445948,252.901924473,2.75941318619,0.131175931384,290.973359613
30,2.83162342226,-1.34835008993,252.871841051,2.78102643068,0.0438023470847,290.017600672
31,2.84295189571,-1.75996241304,248.811357752,2.87240739799,-0.241928032028,289.310687291
32,2.89710832054,-1.99694534944,263.374899966,2.95600064248,-0.443936265983,297.542171656
33,3.05372537168,-1.93194439913,268.68946832,3.03261037792,-0.548723158888,300.111524763
34,3.10910578208,-2.34902956747,271.266077375,3.18293138234,-0.80135376367,301.070773155
35,3.24045007962,-2.18091878753,273.196553729,3.20886001261,-0.894027975874,297.836121974
36,3.45738870168,-2.27137514347,275.837740468,3.36823774845,-1.12503950686,295.73363287
37,3.57648469247,-2.41573850043,282.010083021,3.46220167399,-1.38122283206,297.789692292
38,3.66341632788,-2.41222917617,288.039951699,3.52965965787,-1.46235725318,300.297803858
39,3.82902169781,-2.55967656659,287.326480612,3.66807939072,-1.68967721554,296.571179332
40,3.87820460887,-2.67238979096,294.216348425,3.71458968564,-1.82482452318,302.567936462
41,4.05870443742,-2.87746065888,37.2736822025,3.88880549388,-2.06395827862,27.287349534
42,4.06728092564,-2.84493977898,25.197883311,3.83984508928,-2.01196550718,27.287349534
43,4.06891541299,-2.83607205854,22.4305068371,3.82164060856,-2.00051780934,27.287349534
44,4.01645617093,-2.72948905063,40.0595137447,3.83132342718,-1.96015076974,45.5839355499
45,4.01640549747,-2.72807293188,40.1459089638,3.90276006094,-2.03177851094,45.5839355499
46,4.01648821094,-2.72711325597,40.1914691481,3.90136154437,-2.05235493984,45.5839355499
47,3.9871799477,-2.76521913389,64.2782623088,3.80011969259,-1.99106627478,69.6727990911
48,3.98729460303,-2.76490634582,64.2833810857,3.8021278474,-1.99190304774,69.6727990911
49,3.98729460303,-2.76490634582,64.2833810857,3.80551223622,-1.99277464927,69.6727990911
