Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,0.0358731190778,-0.0779156517692,176.465826717,-0.0346414269076,0.289589942023,90.0655728329
2,0.556258145536,0.896619300443,186.482611175,0.683816915886,1.45699816557,42.3708631749
3,0.634868143912,0.914520640331,185.129693339,0.741058135502,1.52410414532,41.6723864026
4,0.898269245608,0.890301931523,189.902861576,0.971181540048,1.62070769903,33.8802255648
5,1.03105517764,0.825311525463,183.192593429,1.05823641266,1.66681757648,29.7445919538
6,1.33125498752,1.11469211944,170.949080118,1.31403391248,1.8479015737,25.1041741962
7,1.67429215411,1.26756632717,173.894454926,1.54440376374,1.99509389932,29.2653087442
8,2.00726144531,0.976703846413,171.092371464,1.63008992069,2.06006675568,28.65068947
9,2.09312653308,1.49315948456,193.80429948,1.81845357879,2.15570846236,31.5527866017
10,1.79563976427,2.19919230679,231.318777484,1.95784367713,2.19441740311,33.2309048008
11,2.23725504394,2.02435820804,227.160772571,2.14676536364,2.378842812,41.332898657
12,2.46121649527,1.89161724794,105.488702966,2.13591650137,2.31996842249,134.413995324
13,2.4039007826,1.81048490643,105.982053637,2.10141493921,2.37641294655,142.37675502
14,2.16919238989,2.70676369494,185.005684218,2.08596675232,2.33741681838,142.37675502
15,2.36674670598,1.57055669258,140.295917667,2.08703995983,2.34843852404,184.55680291
16,2.400184303,1.69259803263,135.586491512,2.07350372899,2.46519919078,184.55680291
17,2.21479044465,1.38587944426,173.257568965,2.08710242999,2.3928770445,215.082738513
18,2.46722777222,1.47320434495,204.774810843,2.13626995569,1.97343348002,265.572742418
19,2.38042694522,1.23334560756,197.911421687,2.04213639742,1.94346737826,257.354249745
20,2.37123396952,1.01793150157,187.079491396,2.02716054537,1.74614056707,253.913995359
21,2.38466657182,0.836580684587,177.184691994,2.03312647861,1.55609693956,243.069994539
22,2.12972554031,0.570546603554,160.397011782,1.78778757613,1.20809894754,230.091528275
23,1.98769320278,0.335536849556,152.148402922,1.63633361155,1.05384680646,221.964278059
24,1.98867277319,0.328148352446,150.133664362,1.59162499674,1.04689373726,221.964278059
25,1.76691560854,0.215364861982,147.157547764,1.41659006018,0.926789232227,216.772772141
26,1.76681967324,0.215660350812,147.206956316,1.42950665184,0.921682371939,216.772772141
27,1.66836392818,0.104332682734,150.022910673,1.31372398714,0.795803928623,220.204834979
28,1.65719902415,0.13872153145,155.773054273,1.32186165101,0.779939136385,220.204834979
29,1.43294797404,-0.00792854843741,144.629484128,1.10549297776,0.662862958875,209.222874023
30,1.41025254895,0.0619752803396,156.318071235,1.06763313158,0.657586740448,209.222874023
31,1.31390423359,0.0330325663692,154.741341525,0.994534599623,0.653024361195,209.066829983
32,1.32142400408,0.00987103727029,150.868512881,0.880807435571,0.501899374442,209.066829983
33,1.08485877981,-0.0882460711248,160.304189049,0.782707033393,0.452830319469,207.311963863
34,0.861380387783,-0.232257317801,157.853837754,0.53124457936,0.374979484753,210.07668011
35,0.852068164821,-0.203574883481,162.649814425,0.514137205446,0.390720449309,210.07668011
36,0.807128362062,-0.284398269996,157.772929738,0.504060497238,0.299458594546,206.978409684
37,0.795291225027,-0.247938886783,163.869286461,0.489726846281,0.310017187011,206.978409684
38,0.535601382684,-0.327815101972,164.857104502,0.236298316182,0.233661801842,207.325484184
39,0.385451161647,-0.432937484369,167.182426581,0.0762391942425,0.130799575082,210.021116416
40,0.387491167528,-0.439220875019,166.131783716,-0.0634600521975,0.0364569589098,210.021116416
41,0.249073177159,-0.581580460127,162.692882151,-0.0672570711631,0.000890144086625,209.634661889
42,0.229147444188,-0.520207517322,172.955023732,-0.205979967452,-0.020136368514,209.634661889
43,-0.00818319121958,-0.642070414305,160.52055549,-0.310512532126,-0.067754056442,205.386442128
44,0.0387837506189,-0.786732567482,136.331663293,-0.317846031427,-0.089964886996,205.386442128
45,-0.0634732740341,-0.817754418125,139.039355691,-0.410146690879,-0.122386509824,205.846040107
46,-0.0904787510172,-0.73457526498,152.947703688,-0.414227118233,-0.131218385926,205.846040107
47,-0.289798528342,-0.977357406131,138.535387736,-0.632398221031,-0.278248867224,206.159733917
48,-0.286281622716,-0.988189772907,136.724112662,-0.667425630529,-0.275048422415,206.159733917
49,-0.285176608865,-0.991593309028,136.15500895,-0.689510348183,-0.244113352135,206.159733917
50,-0.517033914951,-1.06683325376,138.65960461,-0.873371345641,-0.350974552478,208.52633759
51,-0.66724552751,-1.07242592262,156.357830407,-0.985424910648,-0.444840195769,210.943049999
52,-0.69425424852,-0.989236777602,170.267849142,-0.978368123325,-0.498209284507,210.943049999
53,-0.865587662078,-1.29987767028,136.713083233,-1.21803744126,-0.577582775803,207.759076595
54,-0.862426978179,-1.30961284402,135.085269304,-1.32041409863,-0.627548603898,207.759076595
55,-0.859836862207,-1.31759062027,133.751309,-1.34588425232,-0.596021719648,207.759076595
56,-0.972506651721,-1.3333924527,135.71924348,-1.32873112264,-0.597929756559,209.471836532
57,-0.972016286634,-1.33490281864,135.466695885,-1.35079850245,-0.693725941285,209.471836532
58,-1.16148549759,-1.55120584841,126.306826779,-1.51286727198,-0.821195073637,200.250721642
59,-1.16188334025,-1.54998045937,126.511723518,-1.52937862072,-0.80406476417,200.250721642
60,-1.43867100218,-1.57883553321,132.23635121,-1.79921319319,-0.84244668445,205.761859744
61,-1.5422514862,-1.65370424534,137.362833011,-1.8978259657,-0.913899381738,210.281721119
62,-1.54660492536,-1.64029528453,139.60493919,-2.00402316945,-1.02186665795,210.281721119
63,-1.80082819029,-1.77936573154,130.137852408,-2.15642969286,-1.05407754538,202.089565073
64,-1.91114890113,-1.77388394253,136.786125318,-2.26723624583,-1.05745997835,207.067925586
65,-2.14514674707,-1.9206357847,137.225364032,-2.49366188716,-1.21711555677,204.506439792
66,-2.41035095557,-1.98520483507,138.708171036,-2.76027557824,-1.2871590597,203.348245578
67,-2.52077007476,-1.99756300006,144.980899323,-2.86603413331,-1.31254495049,206.953646531
68,-2.7464866151,-2.12827537914,149.383936649,-3.076579414,-1.49587658158,206.003706066
69,-2.89641143705,-2.1296054933,155.954387127,-3.21473219995,-1.52069411211,208.421520886
70,-3.12897961276,-2.20073754901,167.245582514,-3.44285309552,-1.6036072276,217.503364044
71,-3.5836615883,-2.39402544791,162.345217396,-3.80977075052,-1.91473231255,209.301255465
72,-3.48635664874,-2.51421441264,224.219476815,-3.81638761951,-1.82282275219,283.336633899
