Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,-0.349589158476,0.111346374492,171.69955275,0.0056471105631,0.123116918164,90.0042247586
2,0.331267462745,0.0428236292163,198.91443814,0.390747284276,0.950921428879,44.6154432307
3,0.591009857583,-0.227365394825,167.110976287,0.631150265317,1.22443083538,44.3726258591
4,0.570288082399,0.550442119254,231.938327847,0.690994165504,1.3338007894,34.3528216143
5,0.526305444124,-0.0611282766371,206.268059243,0.790071254624,1.38577221125,35.9235456829
6,0.651699912951,-0.1539374809,179.718088142,1.01166916222,1.50053800191,35.9235456829
7,0.934151164477,0.337039207391,217.628471576,1.23630899587,1.63311548907,28.1336721048
8,1.20193571807,0.405106768867,210.303237555,1.38757415572,1.70371132642,27.8643109524
9,1.50274377529,0.878666653307,224.516395919,1.56667896862,1.78346354213,18.2154306745
10,1.57369491755,0.784390365039,219.347068241,1.66776709581,1.77937698949,18.2154306745
11,1.91772807513,1.11413912477,225.799873041,1.944020756,1.90703486949,20.7311341299
12,2.18123846036,1.32948855514,230.762053418,2.19371655706,1.92899205196,19.1027647724
13,2.32714850791,1.21745537964,220.858765467,2.27391272708,2.00192844729,15.9002287512
14,2.66194196205,1.09158859744,203.658855714,2.50399676173,2.07360192907,15.9002287512
15,2.85121295523,0.921401260072,186.52257628,2.66438960389,2.11965754561,13.7309012844
16,3.04555440358,0.68355482133,166.825608601,2.88286786961,2.17459295311,14.5601605553
17,3.32707400738,1.28617880074,204.892588227,3.13030462131,2.22140140013,15.3455911249
18,3.95486874243,0.0438387100308,125.120649864,3.72960013579,2.35615980984,129.482303968
19,3.96715790932,-0.189856843195,171.441157119,3.7454537046,2.44455804426,169.30466368
20,3.98297809832,-0.93983524595,192.126223368,3.74443279107,2.42506597167,169.30466368
21,3.98611221384,-1.0030068261,193.874134688,3.74702687815,2.39829433051,169.30466368
22,3.98664351967,-0.981977747338,224.21834955,3.73382271889,2.41083601106,199.648878542
23,3.98664351967,-0.981977747338,224.21834955,3.7312918933,2.41704141559,199.648878542
24,3.94621313575,-0.958205645557,265.315267251,3.80933028183,2.38360290529,240.745796243
25,4.00690562338,-1.09816329445,276.816673251,3.71089156995,2.25873502097,252.247202243
26,3.74629150502,-1.67159800984,250.386092037,3.42653659989,1.63348991602,225.816621029
27,3.52817218434,-1.8178859814,249.127225164,3.28713793497,1.5766345846,224.557754157
28,3.4544870136,-1.90432865066,252.922702963,3.1997866859,1.48871762522,228.353231955
29,3.4544870136,-1.90432865066,252.922702963,3.21170926835,1.40477489538,228.353231955
30,3.30789898615,-2.10604268481,234.600492105,3.05329797751,1.29198139988,228.353231955
31,3.30789898615,-2.10604268481,234.600492105,3.00174597384,1.28045245293,210.031021097
32,3.17452687286,-2.15037856522,236.855910374,2.90442765663,1.25741482764,212.286439367
33,3.17452687286,-2.15037856522,236.855910374,2.89131904953,1.25962110379,212.286439367
34,3.17452687286,-2.15037856522,236.855910374,2.87602027522,1.20857112734,212.286439367
35,2.96511112901,-2.25874618411,239.898421719,2.70778662381,1.13906420017,215.328950711
36,2.76110740272,-2.42332390584,234.441114535,2.51003366396,0.964483066781,209.871643528
37,2.76110740272,-2.42332390584,234.441114535,2.51377174933,0.954001268055,209.871643528
38,2.66767587734,-2.45838321805,234.662159974,2.413909133,0.925285672419,210.092688966
39,2.66767587734,-2.45838321805,234.662159974,2.41526139989,0.914072811975,210.092688966
40,2.66767587734,-2.45838321805,234.662159974,2.42031276458,0.89476930957,210.092688966
41,2.45275818476,-2.58481281948,224.299788669,2.20885560733,0.802573728424,199.730317661
42,2.45275818476,-2.58481281948,224.299788669,2.1627068554,0.807792599095,199.730317661
43,2.22242613654,-2.63445333855,228.398219566,1.96833725666,0.755840391431,203.828748558
44,2.1113351612,-2.70654725865,234.68142016,1.86409109255,0.689976292923,210.111949152
45,2.1113351612,-2.70654725865,234.68142016,1.76769184369,0.564655048918,210.111949152
46,1.88389558451,-2.85192921238,230.683826957,1.64195593584,0.534492133819,206.114355949
47,1.88389558451,-2.85192921238,230.683826957,1.60577504393,0.535867884512,206.114355949
48,1.77566774775,-2.88825799081,229.921011744,1.52645995273,0.497077836373,205.351540736
49,1.77566774775,-2.88825799081,229.921011744,1.52549045739,0.498411527615,205.351540736
50,1.5478979609,-2.96259571442,233.729785136,1.29812894421,0.427018860777,209.160314128
51,1.5478979609,-2.96259571442,233.729785136,1.27734737466,0.336898791457,209.160314128
52,1.33411914784,-3.13798494188,230.893132813,1.0796106443,0.251796646915,206.323661805
53,1.33411914784,-3.13798494188,230.893132813,1.04133770874,0.261103819464,206.323661805
54,1.2521539092,-3.20102907631,227.496856235,0.911251187027,0.249041158874,202.927385228
55,1.2521539092,-3.20102907631,227.496856235,0.899387443063,0.196948522136,202.927385228
56,0.998472287155,-3.23368885736,223.100866763,0.749574518114,0.144217256532,202.927385228
57,0.821281087546,-3.32930197962,224.207137658,0.566349062015,0.0615848164548,199.63766665
58,0.672353945671,-3.38037000038,225.881576356,0.409848504466,-0.0188449848955,201.312105349
59,0.672353945671,-3.38037000038,225.881576356,0.231586459555,-0.0434360750131,201.312105349
60,0.415295221667,-3.46637912643,215.355734601,0.169252027838,-0.0790539482651,190.786263593
