Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,0.652539796117,0.385547809218,163.893066471,0.361984084774,1.17321197554,54.7833485525
2,0.609189340422,1.18673097589,187.088181884,0.774803591445,1.63002701797,39.2962120324
3,0.93701389706,1.05143110737,209.832554801,0.880959047017,1.64175920583,31.5144180371
4,1.32696247532,1.02376160877,216.48523901,1.03255679896,1.68510558149,35.521859497
5,1.99375955807,1.30653908132,222.122504876,1.19952831289,1.83865814458,33.1385674018
6,2.88149429871,2.14083714851,249.878074635,1.59662688717,2.0614642537,29.7194693679
7,3.02503272196,1.93922019913,247.903071788,1.75956248013,2.15498705023,24.6715642439
8,3.08668916037,2.24714421341,261.246311763,1.90221297379,2.22751714685,29.9043673183
9,2.80014484422,3.83295077897,264.246638203,2.06112968014,2.34043187029,33.3137959026
10,3.35025143807,2.36828099181,166.115380513,2.04381518249,2.32962357981,122.937684397
11,3.70802417818,1.50658357024,76.3890980332,2.07844911883,2.38731277893,166.757517112
12,3.26858908975,2.72061242674,66.6011065454,2.06725176521,2.29926370912,166.757517112
13,3.61943811917,1.72428876939,73.6508010731,2.06925287161,2.296065019,166.757517112
14,3.41381255016,1.57472174858,118.654802687,2.05847039763,2.42547993782,166.757517112
15,3.84277694504,0.983286685614,109.650639677,2.05834601164,2.4206317415,194.399940216
16,2.34443491292,1.23588196094,248.699440726,1.94189966642,2.19259467964,243.453865748
17,1.4851354503,1.24302415466,302.653498244,1.90575266401,2.0746369438,240.183933846
18,0.946034109908,1.05002739194,323.808937014,1.71834613841,1.84132468963,230.257529801
19,1.48957405702,0.889581173701,288.24152636,1.76120124165,1.74822403962,230.257529801
20,2.21955676592,0.563585729717,232.174388534,1.67458636412,1.67804893911,229.677174689
21,0.890315905256,0.918220544975,320.475286242,1.60209004922,1.644806124,229.677174689
22,0.701149132706,0.732807017968,315.233114724,1.53013344519,1.5580199612,222.919196281
23,0.631644010591,0.751350637014,319.850310042,1.52746134457,1.5282452809,222.919196281
24,0.601080553612,0.759504814515,321.880627322,1.54037150212,1.51198352742,222.919196281
25,0.386784265484,0.597371768135,314.066570282,1.28111940329,1.43342619305,215.105139242
26,0.386784265484,0.597371768135,314.066570282,1.30859114667,1.42008122268,215.105139242
27,0.292129390505,0.532095922989,316.846173741,1.19570866497,1.36604521478,217.884742701
28,0.292129390505,0.532095922989,316.846173741,1.19741953872,1.35249969488,217.884742701
29,0.0917302738323,0.352761300958,310.519446233,1.01838860534,1.16812645755,211.558015193
30,0.0917302738323,0.352761300958,310.519446233,0.846240658698,1.13740936805,211.558015193
31,-0.0428547209312,0.305755470985,309.993317547,0.888111902817,1.11054861264,211.031886506
32,-0.0428547209312,0.305755470985,309.993317547,0.884949364783,1.11413144855,211.031886506
