Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,0.471324509911,1.37538947641,179.776280221,0.828172898124,1.62795969372,47.1351621695
2,0.716324046762,1.66728354648,199.844243334,0.986903224479,1.68064873215,36.747275296
3,0.875246674168,1.42370505377,205.00651418,1.07285256013,1.71730960723,33.085200814
4,1.21591704094,1.77880118898,209.973506243,1.28885886764,1.90089258133,27.1894097517
5,1.25990167615,1.3306288724,194.962530303,1.49872200434,1.99564036699,23.0276320162
6,1.02364243072,1.42196959429,179.558392904,1.60307417323,2.04180952742,21.9495707688
7,1.4245238853,1.43494899924,156.217066842,1.85574519384,2.13202704402,24.6305702442
8,1.54567839774,1.59640066732,131.250381806,2.00045740991,2.20826750568,26.4701085774
9,1.95343142631,1.66095652418,110.476517358,2.15943501295,2.31277891079,30.8322524521
10,2.35043769432,1.61077014957,78.7957081248,2.33591506128,2.33661472043,25.6103222714
11,2.43162488794,1.71097714682,106.144816518,2.26793863418,2.33588711227,96.3911686353
12,2.43940859016,1.62745528343,153.014767631,2.27384371346,2.34294947538,145.4777451
13,2.20848956456,1.77066747811,169.328264447,2.30486465961,2.4305087178,173.615526667
14,2.22812111854,1.76558355308,170.409477274,2.30420455425,2.40154615595,173.615526667
15,2.25621985095,2.07419618154,177.305393377,2.30310042099,2.36721542447,173.615526667
16,2.29848501376,1.88061834353,217.894274547,2.34288755905,2.35200862872,218.939407407
17,2.33612307553,2.15602507732,217.937087488,2.34348673985,2.35208105354,218.939407407
18,2.3772035848,1.81441786605,238.104969222,2.36744829116,2.41657903076,238.571778634
19,2.37968991627,1.91236936647,244.869740964,2.36067904635,2.41356310495,238.571778634
20,2.40751294925,2.01631031165,278.878207469,2.35830322706,2.41225433629,283.667025141
21,2.51073915217,1.68077616553,280.294936269,2.34600159624,2.40979829104,283.667025141
22,2.19397964179,2.10580158568,284.203591242,2.23755137159,2.36855748978,283.667025141
23,2.22674500337,1.90072805142,309.687409965,2.34657128976,2.43237876836,309.63602535
24,1.73495952273,1.83486988009,313.953901808,2.34194778561,2.42987867663,309.63602535
25,1.8179824328,2.04261821122,347.526885718,2.31079482526,2.42245941948,344.454705711
26,1.98438891037,2.51749087313,347.44959318,2.28450523085,2.45420762203,344.454705711
27,2.00906466851,2.55847943923,20.9681780889,2.28531000331,2.45054449703,13.8647984959
28,2.08218297967,2.55801098253,47.4649959114,2.3536318013,2.35393614772,44.7972825436
29,2.01811727994,2.36791540918,140.131328835,2.33731209709,2.42873464528,136.869192238
30,1.92880781691,2.21995807933,159.444549974,2.34989005429,2.35645864858,155.673388809
31,1.53967318846,1.57985819374,161.594610121,2.35043637335,2.31809733389,155.673388809
32,1.76931212903,1.94744639001,206.076404376,2.35344819781,2.38468516785,201.454127968
33,1.77430030516,1.86076988184,205.898581363,2.38143176752,2.3279598109,201.454127968
34,1.87197367476,2.23501659987,226.669970165,2.30486776423,2.43446427077,223.304600519
35,1.70837749402,1.64518250434,277.017350682,2.37911264281,2.36536191275,272.745977909
36,1.62071778274,1.55277893321,278.005625457,2.33114747332,2.29203169148,272.745977909
37,1.539060372,1.4967713017,289.888658207,2.36172899017,2.3237379514,284.076216358
38,1.50130078626,1.45090119517,290.232393055,2.35681392154,2.32169364228,284.076216358
39,1.66998248419,1.42935097321,285.558092963,2.41947657752,2.11518430048,280.268225228
40,1.62155271337,1.03603045965,279.679605929,2.45281504518,1.86126370506,273.687326713
41,1.93037600949,1.57142721628,277.707751753,2.45085934966,1.76957448279,273.343358348
