Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,0.353205607697,-0.640652916381,170.63708726,0.000478739250721,-0.000123145792039,0
2,0.556071472149,-1.70711686852,142.141048022,0.00142685157845,-0.00243390328929,0
3,1.24632411863,-2.3848548294,110.525326796,0.231421294974,-0.00273787323204,4.50802691154
4,1.74235086666,-2.60161875018,77.5689957086,0.483957499013,0.068508568806,4.50802691154
5,2.04317738311,-2.93871532954,60.9847305914,0.593558726211,0.0408791831591,344.116278397
6,1.79607948637,-2.5488458861,72.4679656354,0.623377561791,-0.0290773337264,338.438432357
7,2.53915734271,-3.42320144366,111.732851994,0.841070185547,-0.114293692158,338.438432357
8,2.53617144831,-3.71802268686,110.792547138,0.891758353777,-0.106121054302,332.399936473
9,2.63866164712,-3.87977445675,107.98369411,0.988943360902,-0.190701622061,327.240664542
10,2.83780848668,-4.0413865177,93.651353152,1.2141627224,-0.337473705526,325.810529519
11,3.11597122665,-4.16780471641,343.271376975,1.4241620562,-0.443063888155,312.182280955
12,3.02749718014,-4.23262377489,325.051361946,1.49672435677,-0.532045322383,310.222610249
13,2.44130879091,-4.40379992937,235.838626363,1.66248788067,-0.847147791139,300.23719557
14,1.81440643832,-4.56578591175,189.165157281,1.73954818751,-0.895708123516,306.516587637
15,2.03224271304,-4.65695783963,160.248641231,1.85297239874,-1.10431544943,302.750354811
16,2.5850654636,-4.82010113909,114.241147661,2.06396353119,-1.47140682851,300.369159245
17,3.55935380791,-5.9758900335,85.6468090816,2.88656578666,-2.6367687864,310.085560304
18,3.61781145095,-6.04383492188,98.5036887612,2.89294969555,-2.70594467009,16.6816779907
19,3.52173568224,-6.00654156319,101.897999644,2.84610010738,-2.61363512624,16.6816779907
20,3.49245158649,-5.99484569134,102.847025524,2.8387214565,-2.61056217295,16.6816779907
21,3.46223852338,-5.92332396639,153.968576021,2.81380501256,-2.63333295795,69.4020934806
